sample_id,source_name,included,reason,source_strength,source_strength_unit
22132,EXP_FLEX_19_a_spec_14,False,outside_20_to_40_days,10.480013321199472,N/mm²
22133,EXP_FLEX_19_a_spec_15,False,outside_20_to_40_days,12.465386980561275,N/mm²
22134,EXP_FLEX_19_a_spec_16,False,outside_20_to_40_days,8.513250420830062,N/mm²
22135,EXP_FLEX_19_a_spec_17,False,outside_20_to_40_days,10.652122237759757,N/mm²
22136,EXP_FLEX_19_a_spec_19,False,outside_20_to_40_days,11.655962730497533,N/mm²
22122,EXP_FLEX_19_a_spec_2,False,outside_20_to_40_days,8.644100896976548,N/mm²
22137,EXP_FLEX_19_a_spec_20,False,outside_20_to_40_days,9.906846684057776,N/mm²
22138,EXP_FLEX_19_a_spec_21,False,outside_20_to_40_days,9.985273549152243,N/mm²
22139,EXP_FLEX_19_a_spec_22,False,outside_20_to_40_days,12.907828188844134,N/mm²
22140,EXP_FLEX_19_a_spec_23,False,outside_20_to_40_days,12.654686677438937,N/mm²
22141,EXP_FLEX_19_a_spec_24,False,outside_20_to_40_days,9.671638084173132,N/mm²
22142,EXP_FLEX_19_a_spec_25,False,outside_20_to_40_days,11.690709696158638,N/mm²
22143,EXP_FLEX_19_a_spec_26,False,outside_20_to_40_days,12.089691505573338,N/mm²
22144,EXP_FLEX_19_a_spec_27,False,outside_20_to_40_days,13.368354486412636,N/mm²
22145,EXP_FLEX_19_a_spec_28,False,outside_20_to_40_days,11.999476637441374,N/mm²
22146,EXP_FLEX_19_a_spec_29,False,outside_20_to_40_days,11.382883980924788,N/mm²
22123,EXP_FLEX_19_a_spec_3,False,outside_20_to_40_days,7.27354828546687,N/mm²
22147,EXP_FLEX_19_a_spec_30,False,outside_20_to_40_days,12.38152122638203,N/mm²
22148,EXP_FLEX_19_a_spec_31,False,outside_20_to_40_days,9.188662351463513,N/mm²
22149,EXP_FLEX_19_a_spec_32,False,outside_20_to_40_days,10.462142573471006,N/mm²
22150,EXP_FLEX_19_a_spec_33,False,outside_20_to_40_days,9.345211333967974,N/mm²
22151,EXP_FLEX_19_a_spec_34,False,outside_20_to_40_days,13.091078579374845,N/mm²
22152,EXP_FLEX_19_a_spec_35,False,outside_20_to_40_days,13.130579449436487,
22153,EXP_FLEX_19_a_spec_36,False,outside_20_to_40_days,11.40310814220327,
22160,EXP_FLEX_19_a_spec_37,False,outside_20_to_40_days,6.9303228273566,N/mm²
22161,EXP_FLEX_19_a_spec_38,False,outside_20_to_40_days,8.442505806630704,N/mm²
22162,EXP_FLEX_19_a_spec_39,False,outside_20_to_40_days,7.820580434706657,N/mm²
22124,EXP_FLEX_19_a_spec_4,False,outside_20_to_40_days,8.82373864889251,N/mm²
22163,EXP_FLEX_19_a_spec_40,False,outside_20_to_40_days,6.421591747250337,N/mm²
22164,EXP_FLEX_19_a_spec_41,False,outside_20_to_40_days,6.100338315814706,N/mm²
22165,EXP_FLEX_19_a_spec_42,False,outside_20_to_40_days,6.848169849680679,N/mm²
22172,EXP_FLEX_19_a_spec_43,True,included,8.980520759309496,N/mm²
22173,EXP_FLEX_19_a_spec_44,True,included,10.90831995991387,N/mm²
22174,EXP_FLEX_19_a_spec_45,True,included,8.912817209646168,N/mm²
22175,EXP_FLEX_19_a_spec_46,True,included,8.559466684130008,N/mm²
22176,EXP_FLEX_19_a_spec_47,True,included,9.047846422963937,N/mm²
22177,EXP_FLEX_19_a_spec_48,True,included,10.756665846069298,N/mm²
22178,EXP_FLEX_19_a_spec_49,True,included,4.003661673692869,N/mm²
22125,EXP_FLEX_19_a_spec_5,False,outside_20_to_40_days,10.997113251786033,N/mm²
22179,EXP_FLEX_19_a_spec_50,True,included,5.266096392290168,N/mm²
22180,EXP_FLEX_19_a_spec_51,True,included,4.1091746023999045,N/mm²
22181,EXP_FLEX_19_a_spec_52,True,included,5.720368058252377,N/mm²
