record_index,sample_id,sample_code,NAME,TESTORIENTATION,3-OR4-POINTBENDING,PROCESSPARAMETERS,SOURCEPRINTOBJECTNUMBER,AGE,EXTRACTIONMETHOD,EXTRACTIONDATE,TESTDATE,LENGTH_VALUE,LENGTH_UNIT,WIDTH_D1_VALUE,WIDTH_D1_UNIT,HEIGHT_D2_VALUE,HEIGHT_D2_UNIT,SUPPORTSPANL_VALUE,SUPPORTSPANL_UNIT,LOADSPANONLYFOR4PBENDING_VALUE,LOADSPANONLYFOR4PBENDING_UNIT,APPLIEDLOADINGRATE_VALUE,APPLIEDLOADINGRATE_UNIT,F3PXNORF4PXN_VALUE,F3PXNORF4PXN_UNIT,DENSITY_VALUE,DENSITY_UNIT
164,22180,EXP_FLEX22187,EXP_FLEX_19_a_spec_51,U.W,3,DEV2,FLEX1,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.35,mm,42.09,mm,42.96,mm,120.0,mm,,mm,50.0,N/s,4.1091746023999045,N/mm²,2065.563637737296,kg/m³
165,22181,EXP_FLEX22188,EXP_FLEX_19_a_spec_52,U.W,3,DEV2,FLEX1,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.77,mm,41.14,mm,42.17,mm,120.0,mm,,mm,50.0,N/s,5.720368058252377,N/mm²,2044.2738794638838,kg/m³
166,22182,EXP_FLEX22189,EXP_FLEX_19_a_spec_53,U.W,3,DEV2,FLEX1,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,159.82,mm,39.32,mm,40.02,mm,120.0,mm,,mm,50.0,N/s,9.706834482450839,N/mm²,2103.458520253791,kg/m³
167,22184,EXP_FLEX22191,EXP_FLEX_19_a_spec_55,V.U,3,DEFAULT,FLEX2,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.25,mm,41.32,mm,41.43,mm,120.0,mm,,mm,50.0,N/s,12.721808123190918,N/mm²,2057.704315598812,kg/m³
168,22185,EXP_FLEX22192,EXP_FLEX_19_a_spec_56,V.U,3,DEFAULT,FLEX2,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.44,mm,40.21,mm,42.29,mm,120.0,mm,,mm,50.0,N/s,17.26743393222317,N/mm²,2154.493410682464,kg/m³
169,22186,EXP_FLEX22193,EXP_FLEX_19_a_spec_57,V.U,3,DEFAULT,FLEX2,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.59,mm,40.17,mm,40.63,mm,120.0,mm,,mm,50.0,N/s,12.925171750567456,N/mm²,2026.4778310768675,kg/m³
170,22187,EXP_FLEX22194,EXP_FLEX_19_a_spec_58,V.U,3,DEFAULT,FLEX2,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.05,mm,41.28,mm,38.29,mm,120.0,mm,,mm,50.0,N/s,16.50650268647029,N/mm²,1990.1206282493756,kg/m³
171,22188,EXP_FLEX22195,EXP_FLEX_19_a_spec_59,V.U,3,DEFAULT,FLEX2,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.27,mm,39.02,mm,38.19,mm,120.0,mm,,mm,50.0,N/s,10.494228704157171,N/mm²,2099.031749307961,kg/m³
172,22189,EXP_FLEX22196,EXP_FLEX_19_a_spec_60,V.U,3,DEFAULT,FLEX2,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.89,mm,42.43,mm,42.81,mm,120.0,mm,,mm,50.0,N/s,9.497457508042139,N/mm²,2047.835530084555,kg/m³
173,22190,EXP_FLEX22197,EXP_FLEX_19_a_spec_61,V.U,3,DEV2,FLEX2,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.69,mm,41.35,mm,42.2,mm,120.0,mm,,mm,50.0,N/s,16.01433308634945,N/mm²,1989.4791436174673,kg/m³
174,22191,EXP_FLEX22198,EXP_FLEX_19_a_spec_62,V.U,3,DEV2,FLEX2,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.35,mm,41.38,mm,39.98,mm,120.0,mm,,mm,50.0,N/s,17.715064429767093,N/mm²,2041.7484053061396,kg/m³
175,22192,EXP_FLEX22199,EXP_FLEX_19_a_spec_63,V.U,3,DEV2,FLEX2,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.55,mm,41.95,mm,39.81,mm,120.0,mm,,mm,50.0,N/s,16.416001773838858,N/mm²,2074.847934012493,kg/m³
176,22193,EXP_FLEX22200,EXP_FLEX_19_a_spec_64,V.U,3,DEV2,FLEX2,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.42,mm,41.16,mm,38.95,mm,120.0,mm,,mm,50.0,N/s,14.020982907598096,N/mm²,2078.631578022124,kg/m³
177,22194,EXP_FLEX22201,EXP_FLEX_19_a_spec_65,V.U,3,DEV2,FLEX2,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.12,mm,40.62,mm,40.91,mm,120.0,mm,,mm,50.0,N/s,14.523167418769805,N/mm²,2142.6127197624523,kg/m³
178,22195,EXP_FLEX22202,EXP_FLEX_19_a_spec_66,V.U,3,DEV2,FLEX2,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.22,mm,40.41,mm,41.33,mm,120.0,mm,,mm,50.0,N/s,15.708038111821416,N/mm²,2202.580448896381,kg/m³
179,22196,EXP_FLEX22203,EXP_FLEX_19_a_spec_67,W.U,3,DEFAULT,FLEX3,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.04,mm,41.98,mm,41.77,mm,120.0,mm,,mm,50.0,N/s,15.221603378839413,N/mm²,2023.1288940764605,kg/m³
180,22197,EXP_FLEX22204,EXP_FLEX_19_a_spec_68,W.U,3,DEFAULT,FLEX3,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.04,mm,41.11,mm,38.04,mm,120.0,mm,,mm,50.0,N/s,15.077662833947542,N/mm²,2181.2807687479353,kg/m³
181,22198,EXP_FLEX22205,EXP_FLEX_19_a_spec_69,W.U,3,DEFAULT,FLEX3,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.18,mm,41.6,mm,42.17,mm,120.0,mm,,mm,50.0,N/s,15.401657072150876,N/mm²,1877.889700830737,kg/m³
182,22199,EXP_FLEX22206,EXP_FLEX_19_a_spec_70,W.U,3,DEFAULT,FLEX3,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.13,mm,41.57,mm,41.81,mm,120.0,mm,,mm,50.0,N/s,16.000209507181083,N/mm²,2046.879667411629,kg/m³
183,22200,EXP_FLEX22207,EXP_FLEX_19_a_spec_71,W.U,3,DEFAULT,FLEX3,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.19,mm,42.42,mm,41.73,mm,120.0,mm,,mm,50.0,N/s,13.462860752044207,N/mm²,2037.6301261172102,kg/m³
184,22201,EXP_FLEX22208,EXP_FLEX_19_a_spec_72,W.U,3,DEFAULT,FLEX3,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.53,mm,42.16,mm,40.18,mm,120.0,mm,,mm,50.0,N/s,10.274109240318566,N/mm²,2184.080606191384,kg/m³
185,22202,EXP_FLEX22209,EXP_FLEX_19_a_spec_73,W.U,3,DEV2,FLEX3,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,159.75,mm,41.86,mm,38.58,mm,120.0,mm,,mm,50.0,N/s,14.270315754321935,N/mm²,2050.198379979079,kg/m³
186,22203,EXP_FLEX22210,EXP_FLEX_19_a_spec_74,W.U,3,DEV2,FLEX3,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.52,mm,41.02,mm,41.16,mm,120.0,mm,,mm,50.0,N/s,12.449486806773393,N/mm²,2014.0982147331235,kg/m³
187,22204,EXP_FLEX22211,EXP_FLEX_19_a_spec_75,W.U,3,DEV2,FLEX3,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.08,mm,42.23,mm,40.12,mm,120.0,mm,,mm,50.0,N/s,17.82151576867241,N/mm²,2034.643871765635,kg/m³
188,22205,EXP_FLEX22212,EXP_FLEX_19_a_spec_76,W.U,3,DEV2,FLEX3,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.14,mm,40.69,mm,41.25,mm,120.0,mm,,mm,50.0,N/s,15.820660547700918,N/mm²,2032.3377481710588,kg/m³
189,22214,EXP_FLEX22221,EXP_FLEX_19_a_spec_79,U.W,4,DEFAULT,FLEX4,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.56,mm,40.53,mm,41.14,mm,120.0,mm,40.0,mm,75.0,N/s,4.288822576932332,N/mm²,2221.089418633022,kg/m³
190,22215,EXP_FLEX22222,EXP_FLEX_19_a_spec_80,U.W,4,DEFAULT,FLEX4,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.25,mm,40.58,mm,41.09,mm,120.0,mm,40.0,mm,75.0,N/s,4.69886872948716,N/mm²,2239.6038632930467,kg/m³
191,22216,EXP_FLEX22223,EXP_FLEX_19_a_spec_81,U.W,4,DEFAULT,FLEX4,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.58,mm,40.65,mm,40.48,mm,120.0,mm,40.0,mm,75.0,N/s,4.410433317178242,N/mm²,2239.491139086379,kg/m³
192,22217,EXP_FLEX22224,EXP_FLEX_19_a_spec_82,U.W,4,DEFAULT,FLEX4,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.08,mm,40.43,mm,42.6,mm,120.0,mm,40.0,mm,75.0,N/s,5.3623115091422235,N/mm²,2117.2112527475956,kg/m³
193,22218,EXP_FLEX22225,EXP_FLEX_19_a_spec_83,U.W,4,DEFAULT,FLEX4,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.65,mm,41.14,mm,41.73,mm,120.0,mm,40.0,mm,75.0,N/s,4.707846797166848,N/mm²,2145.3994617051635,kg/m³
194,22219,EXP_FLEX22226,EXP_FLEX_19_a_spec_84,U.W,4,DEFAULT,FLEX4,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.63,mm,41.4,mm,40.33,mm,120.0,mm,40.0,mm,75.0,N/s,4.872478985379429,N/mm²,2210.3461862660915,kg/m³
195,22220,EXP_FLEX22227,EXP_FLEX_19_a_spec_91,CAST,4,DEFAULT,cast FLEX4,29.0,cast,2023-02-09 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.95,mm,40.61,mm,40.47,mm,120.0,mm,40.0,mm,75.0,N/s,8.443691174263977,N/mm²,2157.461665285217,kg/m³
196,22221,EXP_FLEX22228,EXP_FLEX_19_a_spec_92,CAST,4,DEFAULT,cast FLEX4,29.0,cast,2023-02-09 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.44,mm,40.76,mm,40.34,mm,120.0,mm,40.0,mm,75.0,N/s,9.703464175052472,N/mm²,2170.695762879856,kg/m³
197,22222,EXP_FLEX22229,EXP_FLEX_19_a_spec_93,CAST,4,DEFAULT,cast FLEX4,29.0,cast,2023-02-09 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.77,mm,40.86,mm,40.27,mm,120.0,mm,40.0,mm,75.0,N/s,8.635251657501655,N/mm²,2151.275100632897,kg/m³
198,22223,EXP_FLEX22230,EXP_FLEX_19_a_spec_94,CAST,4,DEFAULT,cast FLEX4,29.0,cast,2023-02-09 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.64,mm,40.71,mm,40.26,mm,120.0,mm,40.0,mm,75.0,N/s,7.782070976043353,N/mm²,2117.3513618739303,kg/m³
199,22224,EXP_FLEX22231,EXP_FLEX_19_a_spec_95,CAST,4,DEFAULT,cast FLEX4,29.0,cast,2023-02-09 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.66,mm,40.15,mm,40.03,mm,120.0,mm,40.0,mm,75.0,N/s,9.523393239409026,N/mm²,2157.710785870998,kg/m³
200,22225,EXP_FLEX22232,EXP_FLEX_19_a_spec_96,CAST,4,DEFAULT,cast FLEX4,29.0,cast,2023-02-09 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.99,mm,40.45,mm,40.26,mm,120.0,mm,40.0,mm,75.0,N/s,9.762001681895573,N/mm²,2148.1457174642096,kg/m³
