record_index,sample_id,sample_code,NAME,TESTORIENTATION,3-OR4-POINTBENDING,PROCESSPARAMETERS,SOURCEPRINTOBJECTNUMBER,AGE,EXTRACTIONMETHOD,EXTRACTIONDATE,TESTDATE,LENGTH_VALUE,LENGTH_UNIT,WIDTH_D1_VALUE,WIDTH_D1_UNIT,HEIGHT_D2_VALUE,HEIGHT_D2_UNIT,SUPPORTSPANL_VALUE,SUPPORTSPANL_UNIT,LOADSPANONLYFOR4PBENDING_VALUE,LOADSPANONLYFOR4PBENDING_UNIT,APPLIEDLOADINGRATE_VALUE,APPLIEDLOADINGRATE_UNIT,F3PXNORF4PXN_VALUE,F3PXNORF4PXN_UNIT,DENSITY_VALUE,DENSITY_UNIT
28,17292,EXP_FLEX17299,EXP_FLEX_01_a_spec_152,U.W,4,DEFAULT,concrete,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,399.5,mm,99.5,mm,99.0,mm,300.0,mm,100.0,mm,,N/s,5.925864400053528,N/mm²,2195.272388541613,kg/m³
29,17293,EXP_FLEX17300,EXP_FLEX_01_a_spec_153,U.W,4,DEFAULT,concrete,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,402.0,mm,98.5,mm,98.0,mm,300.0,mm,100.0,mm,,N/s,6.391055334389013,N/mm²,2248.675817019739,kg/m³
30,17298,EXP_FLEX17305,EXP_FLEX_01_a_spec_158,U.W,4,DEV1,concrete,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,398.0,mm,99.0,mm,99.5,mm,300.0,mm,100.0,mm,,N/s,3.7452375322631126,N/mm²,2175.2333057603128,kg/m³
31,17299,EXP_FLEX17306,EXP_FLEX_01_a_spec_159,U.W,4,DEV1,concrete,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,399.25,mm,100.5,mm,100.0,mm,301.0,mm,101.0,mm,,N/s,3.77044776119403,N/mm²,2203.3850783652183,kg/m³
32,17300,EXP_FLEX17307,EXP_FLEX_01_a_spec_160,U.W,4,DEV1,concrete,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,399.0,mm,100.5,mm,100.25,mm,302.0,mm,102.0,mm,,N/s,2.8442683442879755,N/mm²,2169.665301701668,kg/m³
33,17220,EXP_FLEX17227,EXP_FLEX_01_a_spec_80,CAST,3,DEFAULT,cast mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,161.39999999999998,mm,40.599999999999994,mm,40.7,mm,120.0,mm,,mm,50.0,N/s,6.677836663772443,N/mm²,2157.8505106257967,kg/m³
34,17221,EXP_FLEX17228,EXP_FLEX_01_a_spec_81,CAST,3,DEFAULT,cast mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.89999999999998,mm,40.084999999999994,mm,39.65,mm,120.0,mm,,mm,50.0,N/s,6.150801700115733,N/mm²,2137.413281403141,kg/m³
35,17222,EXP_FLEX17229,EXP_FLEX_01_a_spec_82,CAST,3,DEFAULT,cast mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,161.065,mm,39.95,mm,40.6,mm,120.0,mm,,mm,50.0,N/s,7.329041273199642,N/mm²,2150.4915515059884,kg/m³
36,17223,EXP_FLEX17230,EXP_FLEX_01_a_spec_83,CAST,3,DEFAULT,cast mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.8,mm,39.7,mm,40.0,mm,120.0,mm,,mm,50.0,N/s,5.893920056675063,N/mm²,2149.203604145519,kg/m³
37,17224,EXP_FLEX17231,EXP_FLEX_01_a_spec_84,CAST,3,DEFAULT,cast mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.4,mm,40.5,mm,40.35,mm,120.0,mm,,mm,50.0,N/s,6.447866450125494,N/mm²,2140.6089775026994,kg/m³
38,17225,EXP_FLEX17232,EXP_FLEX_01_a_spec_85,CAST,3,DEFAULT,cast mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.7,mm,41.1,mm,40.5,mm,120.0,mm,,mm,50.0,N/s,6.878861754428123,N/mm²,2141.736807238659,kg/m³
39,17226,EXP_FLEX17233,EXP_FLEX_01_a_spec_86,W.U,3,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.3,mm,40.0,mm,40.4,mm,120.0,mm,,mm,50.0,N/s,5.794178174933831,N/mm²,2148.277054779714,kg/m³
40,17227,EXP_FLEX17234,EXP_FLEX_01_a_spec_87,W.U,3,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.075,mm,40.4,mm,40.45,mm,120.0,mm,,mm,50.0,N/s,5.704941778294557,N/mm²,2139.9789064519323,kg/m³
41,17228,EXP_FLEX17235,EXP_FLEX_01_a_spec_88,W.U,3,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,159.22500000000002,mm,40.375,mm,40.525,mm,120.0,mm,,mm,50.0,N/s,6.094262495813398,N/mm²,2128.4072719261926,kg/m³
42,17231,EXP_FLEX17238,EXP_FLEX_01_a_spec_91,W.U,3,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,159.75,mm,40.325,mm,40.55,mm,120.0,mm,,mm,50.0,N/s,6.0805191385592074,N/mm²,2099.764217126736,kg/m³
43,17232,EXP_FLEX17239,EXP_FLEX_01_a_spec_92,U.W,3,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,161.25,mm,41.2,mm,40.05,mm,120.0,mm,,mm,50.0,N/s,4.493008425842738,N/mm²,2104.692082138991,kg/m³
44,17233,EXP_FLEX17240,EXP_FLEX_01_a_spec_93,U.W,3,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.60000000000002,mm,39.95,mm,40.9,mm,120.0,mm,,mm,50.0,N/s,4.752208605637817,N/mm²,2085.261169415455,kg/m³
45,17236,EXP_FLEX17243,EXP_FLEX_01_a_spec_96,U.W,3,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.5,mm,39.900000000000006,mm,40.35,mm,120.0,mm,,mm,50.0,N/s,4.214118164636726,N/mm²,2119.97410636227,kg/m³
46,17237,EXP_FLEX17244,EXP_FLEX_01_a_spec_97,U.W,3,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.95,mm,39.974999999999994,mm,39.9,mm,120.0,mm,,mm,50.0,N/s,4.517639229193469,N/mm²,2103.8841808174734,kg/m³
47,17238,EXP_FLEX17245,EXP_FLEX_01_a_spec_98,V.U,3,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.05,mm,40.25,mm,40.75,mm,120.0,mm,,mm,50.0,N/s,6.048510543156235,N/mm²,2114.5699250925936,kg/m³
48,18761,EXP_FLEX18768,EXP_FLEX_13_a_spec_1,CAST,3,DEFAULT,cast M,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.1,mm,100.0,mm,,mm,50.0,N/s,10.545643372864596,N/mm²,2307.9021197007482,kg/m³
49,18762,EXP_FLEX18769,EXP_FLEX_13_a_spec_2,CAST,3,DEFAULT,cast M,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,39.9,mm,100.0,mm,,mm,50.0,N/s,9.848399193472403,N/mm²,2289.708646616542,kg/m³
50,18763,EXP_FLEX18770,EXP_FLEX_13_a_spec_3,CAST,3,DEFAULT,cast M,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,10.30078125,N/mm²,2270.703125,kg/m³
51,18764,EXP_FLEX18771,EXP_FLEX_13_a_spec_4,CAST,3,DEFAULT,cast M,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,39.9,mm,100.0,mm,,mm,50.0,N/s,10.955490229332732,N/mm²,2268.170426065163,kg/m³
52,18767,EXP_FLEX18774,EXP_FLEX_13_a_spec_4B1,CAST,4,DEFAULT,cast M,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.1,mm,120.0,mm,40.0,mm,75.0,N/s,11.645449966107176,N/mm²,2305.174563591023,kg/m³
53,18768,EXP_FLEX18775,EXP_FLEX_13_a_spec_4B2,CAST,4,DEFAULT,cast M,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.1,mm,120.0,mm,40.0,mm,75.0,N/s,9.749939366048718,N/mm²,2255.688902743142,kg/m³
54,18769,EXP_FLEX18776,EXP_FLEX_13_a_spec_4B3,CAST,4,DEFAULT,cast M,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,10.20375,N/mm²,2282.8125,kg/m³
55,18770,EXP_FLEX18777,EXP_FLEX_13_a_spec_4B4,CAST,4,DEFAULT,cast M,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,10.51875,N/mm²,2298.4375,kg/m³
56,18771,EXP_FLEX18778,EXP_FLEX_13_a_spec_4B5,CAST,4,DEFAULT,cast M,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,10.299375,N/mm²,2316.40625,kg/m³
57,18772,EXP_FLEX18779,EXP_FLEX_13_a_spec_4B6,CAST,4,DEFAULT,cast M,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,9.399375,N/mm²,2265.234375,kg/m³
58,18838,EXP_FLEX18845,EXP_FLEX_13_a_spec_4C1,CAST,4,DEFAULT,cast C-F1,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.1,mm,300.0,mm,100.0,mm,150.0,N/s,9.25448178195431,N/mm²,2196.878121878122,kg/m³
59,18839,EXP_FLEX18846,EXP_FLEX_13_a_spec_4C2,CAST,4,DEFAULT,cast C-F1,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,100.0,mm,150.0,N/s,9.6699,N/mm²,2213.625,kg/m³
60,18840,EXP_FLEX18847,EXP_FLEX_13_a_spec_4C3,CAST,4,DEFAULT,cast C-F1,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,99.9,mm,300.0,mm,100.0,mm,150.0,N/s,10.531853174495817,N/mm²,2209.1341341341345,kg/m³
61,18841,EXP_FLEX18848,EXP_FLEX_13_a_spec_4C4,CAST,4,DEFAULT,cast C-F1,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,100.0,mm,150.0,N/s,8.9415,N/mm²,2162.325,kg/m³
62,18842,EXP_FLEX18849,EXP_FLEX_13_a_spec_4C5,CAST,4,DEFAULT,cast C-F1,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.1,mm,300.0,mm,100.0,mm,150.0,N/s,9.990409191208393,N/mm²,2156.2187812187813,kg/m³
63,18858,EXP_FLEX18865,EXP_FLEX_13_a_spec_4CUW1,U.W,4,DEFAULT,C-F1,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,100.0,mm,150.0,N/s,6.8028,N/mm²,2201.85,kg/m³
64,18859,EXP_FLEX18866,EXP_FLEX_13_a_spec_4CUW2,U.W,4,DEFAULT,C-F1,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,100.0,mm,150.0,N/s,7.0908,N/mm²,2213.2,kg/m³
65,18860,EXP_FLEX18867,EXP_FLEX_13_a_spec_4CUW3,U.W,4,DEFAULT,C-F1,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,99.9,mm,300.0,mm,100.0,mm,150.0,N/s,7.765423080738396,N/mm²,2161.236236236236,kg/m³
66,18861,EXP_FLEX18868,EXP_FLEX_13_a_spec_4CUW4,U.W,4,DEFAULT,C-F1,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,399.9,mm,100.0,mm,100.0,mm,300.0,mm,100.0,mm,150.0,N/s,8.5095,N/mm²,2195.0737684421106,kg/m³
67,18862,EXP_FLEX18869,EXP_FLEX_13_a_spec_4CUW5,U.W,4,DEFAULT,C-F1,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,100.0,mm,150.0,N/s,6.129,N/mm²,2182.45,kg/m³
68,18808,EXP_FLEX18815,EXP_FLEX_13_a_spec_4D1UW1,U.W,4,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,39.9,mm,120.0,mm,40.0,mm,75.0,N/s,6.129986620687056,N/mm²,2196.5068922305763,kg/m³
69,18809,EXP_FLEX18816,EXP_FLEX_13_a_spec_4D1UW2,U.W,4,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,5.799375,N/mm²,2208.59375,kg/m³
70,18810,EXP_FLEX18817,EXP_FLEX_13_a_spec_4D1UW3,U.W,4,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,5.199375,N/mm²,2209.765625,kg/m³
71,18811,EXP_FLEX18818,EXP_FLEX_13_a_spec_4D1UW4,U.W,4,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,6.0375,N/mm²,2184.765625,kg/m³
72,18812,EXP_FLEX18819,EXP_FLEX_13_a_spec_4D1UW5,U.W,4,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,159.9,mm,40.0,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,6.800625,N/mm²,2191.6041275797375,kg/m³
73,18828,EXP_FLEX18835,EXP_FLEX_13_a_spec_4D2UW1,U.W,4,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,4.8,N/mm²,2082.8125,kg/m³
74,18829,EXP_FLEX18836,EXP_FLEX_13_a_spec_4D2UW2,U.W,4,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,6.699375,N/mm²,2053.515625,kg/m³
75,18830,EXP_FLEX18837,EXP_FLEX_13_a_spec_4D2UW3,U.W,4,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,5.799375,N/mm²,2119.53125,kg/m³
76,18831,EXP_FLEX18838,EXP_FLEX_13_a_spec_4D2UW4,U.W,4,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,39.9,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,5.417293233082707,N/mm²,2111.920426065163,kg/m³
77,18832,EXP_FLEX18839,EXP_FLEX_13_a_spec_4D2UW5,U.W,4,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,6.585,N/mm²,2056.640625,kg/m³
78,18788,EXP_FLEX18795,EXP_FLEX_13_a_spec_4UW1,U.W,4,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,6.19875,N/mm²,2209.375,kg/m³
